Problem,Initialization,Seed,Best Makespan,Best Reached Time
la09,40,2,951,0.452320576
la09,40,3,951,12.39585876
la09,40,4,951,0.480642796
la09,60,0,951,0.475569725
la09,60,1,951,0.453507423
la09,60,2,951,0.532758236
la09,60,3,951,0.457713604
la09,60,4,951,0.466696739
la09,80,0,951,0.475404739
la09,80,1,951,0.448034286
la09,80,2,951,0.456728697
la09,80,3,951,6.387673378
la09,80,4,951,0.465539217
la09,100,0,951,0.455158949
la09,100,1,951,0.45223093
la09,100,2,951,0.449298382
la09,100,3,951,12.28670025
la09,100,4,951,0.469187975
la10,40,0,958,0.459953308
la10,40,1,958,0.448436022
la10,40,2,958,0.458232164
la10,40,3,958,0.476130962
la10,40,4,958,0.475503206
la10,60,0,958,0.459772348
la10,60,1,958,0.460193157
la10,60,2,958,0.477783442
la10,60,3,958,0.455222368
la10,60,4,958,0.474894285
la10,80,0,958,0.444085836
la10,80,1,958,0.453865051
la10,80,2,958,0.458183289
la10,80,3,958,0.462455988
la10,80,4,958,0.443920374
la10,100,0,958,0.461583376
la10,100,1,958,0.464523077
la10,100,2,958,0.430538893
la10,100,3,958,0.478799343
la10,100,4,958,0.473488331
la11,40,0,1222,35.34301019
la11,40,1,1222,47.35957575
la11,40,2,1222,85.78767276
la11,40,3,1222,43.15737987
la11,40,4,1222,35.71423888
la11,60,0,1222,50.79249501
la11,60,1,1222,35.42551541
la11,60,2,1222,62.32492542
la11,60,3,1222,23.9639554
la11,60,4,1222,58.52381563
la11,80,0,1222,39.38298512
la11,80,1,1222,31.38192391
la11,80,2,1222,0.584873199
la11,80,3,1222,66.82194996
la11,80,4,1222,12.11640429
la11,100,0,1222,23.66798615
la11,100,1,1222,27.83342481
la11,100,2,1222,39.98774004
la11,100,3,1222,39.16299844
la11,100,4,1222,54.22583485
la12,40,0,1039,38.83081937
la12,40,1,1039,59.78641343
la12,40,2,1039,43.32993245
la12,40,3,1039,47.66335487
la12,40,4,1039,36.0044632
la12,60,0,1039,12.08518481
la12,60,1,1039,23.86591172
la12,60,2,1039,35.11150193
la12,60,3,1039,0.597450733
la12,60,4,1039,12.21207023
la12,80,0,1039,50.80429769
la12,80,1,1039,16.05120158
la12,80,2,1039,23.94159842
la12,80,3,1039,23.88377523
la12,80,4,1039,0.591484547
la12,100,0,1039,16.24564338
la12,100,1,1039,27.62059402
la12,100,2,1039,39.33405733
la12,100,3,1039,27.5933516
la12,100,4,1039,0.596776724
la13,40,0,1150,31.51252007
la13,40,1,1150,27.53967357
la13,40,2,1150,0.560839653
la13,40,3,1150,0.606688023
la13,40,4,1150,47.08939004
la13,60,0,1150,19.8505125
la13,60,1,1150,0.598748207
la13,60,2,1150,0.592152834
la13,60,3,1150,19.90846133
la13,60,4,1150,0.596503019
la13,80,0,1150,0.579888582
la13,80,1,1150,12.2054491
la13,80,2,1150,0.610897064
la13,80,3,1150,0.579273939
la13,80,4,1150,0.576160192
la13,100,0,1150,8.423037291
la13,100,1,1150,8.270176888
la13,100,2,1150,0.587410688
la13,100,3,1150,12.27344584
la13,100,4,1150,0.580964804
la14,40,0,1292,0.593707323
la14,40,1,1292,0.597291946
la14,40,2,1292,0.661058903
la14,40,3,1292,0.599157333
la14,40,4,1292,0.595265388
la14,60,0,1292,0.584952831
la14,60,1,1292,0.612427235
la14,60,2,1292,0.641993284
la14,60,3,1292,0.613420248
la14,60,4,1292,0.571100473
la14,80,0,1292,0.600132942
la14,80,1,1292,0.593182802
la14,80,2,1292,0.650875807
la14,80,3,1292,0.570947886
la14,80,4,1292,0.601985693
la14,100,0,1292,0.579682112
la14,100,1,1292,0.605618954
la14,100,2,1292,0.625973463
la14,100,3,1292,0.576692343
la14,100,4,1292,0.580271721
la15,40,0,1273,658.0064237
la15,40,1,1261,766.7085037
la15,40,2,1242,664.2967889
la15,40,3,1255,682.6445112
la15,40,4,1243,673.4909065
la15,60,0,1242,739.0173466
