num_job,num_machine,mean,std,seed,I_b,I_f,baseline,RANDOM_best,RANDOM_time,RUBI_best,RUBI_time,GT_best,GT_time
45,45,30,10,2,0.36969696969696964,0.37758264462809915,4565.36,4037,13.735436916351318,2752,30.08577609062195,2822,36.54115557670593
45,50,30,10,2,0.34545454545454546,0.3469387755102041,4858.62,4454,16.013675928115845,3100,35.38099813461304,2936,41.25372505187988
50,5,30,10,2,0.9183673469387756,0.9183673469387755,2080.45,1860,2.281175374984741,1605,4.858886241912842,1604,7.403569459915161
50,10,30,10,2,0.8163265306122449,0.8208616780045351,2548.98,2206,4.469209671020508,1813,9.023314476013184,1755,12.15955138206482
50,15,30,10,2,0.726530612244898,0.7259475218658892,2859.53,2510,5.753560781478882,1962,12.26665735244751,1885,16.487091302871704
50,20,30,10,2,0.6438775510204081,0.6487647690655208,3232.68,2782,7.564395189285278,2182,16.505127906799316,2063,21.32655692100525
50,25,30,10,2,0.5812244897959183,0.5748299319727891,3596.09,3222,9.441741704940796,2494,19.680064916610718,2252,26.112056255340576
50,30,30,10,2,0.5285714285714286,0.5207600281491908,3960.12,3587,10.440773725509644,2480,23.752236366271973,2402,30.31601643562317
50,35,30,10,2,0.4857142857142857,0.471188475390156,4233.11,3715,12.697561264038086,2742,28.602671146392822,2602,35.91962385177612
50,40,30,10,2,0.43775510204081625,0.4306645735217163,4556.7,4129,13.816572904586792,2838,32.689080238342285,2798,39.39334201812744
50,45,30,10,2,0.39682539682539675,0.41233766233766234,4819.75,4351,16.409369468688965,2973,34.89122009277344,2890,42.42006754875183
50,50,30,10,2,0.3555102040816327,0.3652644731361932,5130.02,4628,17.908547401428223,3145,39.543702602386475,3163,47.987306356430054
5,5,30,10,3,0.35,0.375,317.82,222,0.22459173202514648,211,0.47201967239379883,227,0.48886799812316895
5,10,30,10,3,0.175,0.25,505.82,394,0.46172308921813965,365,0.9857587814331055,384,1.0100719928741455
5,15,30,10,3,0.16666666666666666,0.25,742.42,578,0.645348072052002,547,1.3970403671264648,529,1.276496410369873
5,20,30,10,3,0.1125,0.14473684210526316,918.73,752,0.8696756362915039,704,1.712418794631958,696,1.867016077041626
5,25,30,10,3,0.15,0.0625,1123.9,949,1.172123670578003,881,2.3784117698669434,878,2.2132115364074707
5,30,30,10,3,0.06666666666666667,0.11206896551724138,1313.6,1100,1.3589842319488525,1032,2.783306837081909,1001,2.853253126144409
5,35,30,10,3,0.11428571428571428,0.04411764705882353,1494.68,1289,1.5295426845550537,1132,3.2298901081085205,1150,3.055525302886963
5,40,30,10,3,0.08125,0.057692307692307696,1713.84,1462,1.7926230430603027,1323,3.733485221862793,1312,3.8344202041625977
5,45,30,10,3,0.03888888888888889,0.07954545454545454,1843.65,1605,1.9795641899108887,1417,4.149237632751465,1396,4.252116918563843
5,50,30,10,3,0.04,0.0663265306122449,2101.97,1828,2.1153740882873535,1732,4.561331748962402,1692,4.558525562286377
10,5,30,10,3,0.6,0.6666666666666666,519.82,398,0.4777209758758545,359,0.9047963619232178,368,0.9698429107666016
10,10,30,10,3,0.3555555555555555,0.37037037037037035,787.98,615,0.8959286212921143,527,1.7138762474060059,542,1.6829321384429932
10,15,30,10,3,0.31111111111111106,0.2619047619047619,1036.43,876,1.3402538299560547,700,2.560502290725708,722,2.7942068576812744
10,20,30,10,3,0.25,0.2046783625730994,1245.35,1041,1.6980438232421875,824,3.340824604034424,870,3.5275959968566895
10,25,30,10,3,0.21333333333333335,0.16666666666666666,1526.05,1289,1.8848745822906494,1045,4.0786826610565186,1060,4.377636432647705
10,30,30,10,3,0.14074074074074075,0.14942528735632182,1816.79,1579,2.5990777015686035,1187,4.89054799079895,1258,5.278278589248657
10,35,30,10,3,0.146031746031746,0.15359477124183005,1924.01,1615,2.701205253601074,1383,5.93022894859314,1315,6.189149379730225
10,40,30,10,3,0.10833333333333332,0.1168091168091168,2143.27,1845,3.283688545227051,1484,6.733605623245239,1450,6.451054334640503
10,45,30,10,3,0.1111111111111111,0.0707070707070707,2361.68,2120,3.52669358253479,1737,7.779201030731201,1684,7.7073445320129395
10,50,30,10,3,0.06888888888888889,0.09070294784580499,2531.68,2229,3.9892425537109375,1792,8.722856521606445,1849,8.509488582611084
15,5,30,10,3,0.7142857142857142,0.7142857142857143,762.97,618,0.6224191188812256,551,1.2858877182006836,523,1.4211528301239014
15,10,30,10,3,0.5071428571428571,0.47619047619047605,1041.32,817,1.247422456741333,671,2.4033420085906982,724,2.736196279525757
15,15,30,10,3,0.3904761904761905,0.3826530612244897,1302.69,1084,1.7729370594024658,871,3.664308547973633,838,3.9060983657836914
15,20,30,10,3,0.3142857142857143,0.2932330827067669,1598.82,1373,2.2127397060394287,1065,4.360175848007202,1091,5.019961595535278
15,25,30,10,3,0.22857142857142854,0.25,1863.23,1612,2.770289897918701,1165,5.642967939376831,1264,5.876933336257935
15,30,30,10,3,0.21666666666666667,0.23891625615763545,2037.99,1774,3.108358860015869,1317,6.461808919906616,1373,7.132811546325684
15,35,30,10,3,0.19183673469387752,0.18487394957983194,2281.91,2004,3.8875091075897217,1523,7.528115749359131,1512,7.906045913696289
15,40,30,10,3,0.1821428571428571,0.16849816849816848,2555.56,2302,4.034811735153198,1681,9.008015871047974,1682,9.651723384857178
15,45,30,10,3,0.15238095238095237,0.1590909090909091,2763.84,2441,4.733250617980957,1840,10.072373151779175,1820,10.657151937484741
15,50,30,10,3,0.1457142857142857,0.13556851311953352,2929.19,2563,5.085778713226318,1971,10.803478002548218,1964,11.305493831634521
20,5,30,10,3,0.7894736842105262,0.7894736842105262,908.47,770,0.976172685623169,618,1.9878733158111572,658,2.145219564437866
20,10,30,10,3,0.5947368421052631,0.5789473684210527,1299.35,1084,1.5391929149627686,898,3.346848726272583,871,3.709176778793335
20,15,30,10,3,0.4631578947368421,0.4398496240601503,1593.82,1305,2.360072612762451,999,4.840071439743042,1029,5.1240434646606445
20,20,30,10,3,0.3947368421052631,0.4016620498614958,1856.08,1627,2.949496269226074,1189,6.370274543762207,1181,7.227221965789795
20,25,30,10,3,0.32,0.3596491228070175,2121.15,1836,3.6926989555358887,1325,8.036136150360107,1373,8.882547855377197
20,30,30,10,3,0.2754385964912281,0.2813067150635209,2335.55,2045,4.678057909011841,1479,9.439947843551636,1535,10.048977375030518
20,35,30,10,3,0.243609022556391,0.23219814241486067,2638.73,2354,5.079695701599121,1705,10.677109003067017,1689,11.92519736289978
20,40,30,10,3,0.23157894736842105,0.21997300944669362,2913.03,2529,6.010555982589722,1863,12.806236743927002,1873,13.318877458572388
20,45,30,10,3,0.18830409356725145,0.19736842105263158,3085.97,2758,6.486967086791992,1985,13.680745840072632,1972,14.909204959869385
20,50,30,10,3,0.17684210526315788,0.16004296455424274,3336.34,2968,7.122591972351074,2208,14.991395235061646,2152,16.293630599975586
25,5,30,10,3,0.8333333333333334,0.8333333333333334,1082.92,892,1.1276607513427734,780,2.2306952476501465,787,2.6114819049835205
25,10,30,10,3,0.6541666666666666,0.6666666666666666,1519.13,1184,2.034346580505371,1034,4.064034461975098,1029,4.941639423370361
25,15,30,10,3,0.5055555555555554,0.5029761904761905,1802.81,1595,3.0553009510040283,1212,6.291316270828247,1154,6.831695318222046
25,20,30,10,3,0.4375,0.4407894736842105,2114.59,1844,3.7839508056640625,1391,7.815556287765503,1343,8.988139629364014
25,25,30,10,3,0.3716666666666667,0.3802083333333333,2394.02,2094,4.799257516860962,1511,10.192842483520508,1526,11.603138208389282
25,30,30,10,3,0.32083333333333336,0.3103448275862069,2687.0,2379,6.030201196670532,1713,12.897267818450928,1703,13.670499086380005
25,35,30,10,3,0.28809523809523807,0.30882352941176466,2923.46,2587,6.769009828567505,1898,13.732015371322632,1864,15.594506978988647
